CAA61688.1, E9PA86, L2919
NP_013406.1, P06106, MET17
EDN60959.1, A6ZW67, MF(ALPHA)1
XP_003673653.1, G0V724, NCAS0A07140
EDZ71034.1, B5VM12, AWRI1631_110760
NP_011483.3, P32781, AGA2
NP_011506.1, P07264, LEU1
NP_012032.1, P38857, MPC2
NP_012925.3, Q02196, MET14
NP_011426.1, P32435, MF(ALPHA)2
NP_015493.1, P18408, MET16
NP_690847.1, Q3E752, SPO24
NP_011882.1, P04076, ARG4
NP_012863.1, P14540, FBA1
NP_011015.3, P05694, MET6
NP_116627.2, D6VTK4, STE2
NP_013268.1, P05759, RPS31
NP_012543.3, P08536, MET3
NP_010843.1, P39976, DLD3
NP_011326.1, P39938, RPS26A
NP_878067.1, Q3E6R4, YDR524C-B
CDO92450.1, A0A0A8L086, KLDO_g770
NP_014577.1, P32179, MET22
GAX68053.1, NA, NA
NP_878111.1, Q3E826, YKL068W-A
NP_014583.2, P22768, ARG1
XP_003669904.1, G0WA50, NDAI0D03470
NP_116686.3, P39692, MET10
NP_012191.1, P40510, SER33
NP_013459.1, P06168, ILV5
NP_013390.1, P0CX33, RPS30A
NP_011848.1, P38701, RPS20
NP_012118.1, P0CH08, RPL40A
NP_015182.1, P05744, RPL33A
AAC49427.1, Q03885, YIR017W-A
NP_013957.1, P46784, RPS10B
NP_012802.1, P32332, OAC1
NP_012537.1, P20840, SAG1
NP_014936.1, Q08745, RPS10A
NP_011398.3, P53133, YGL117W
XP_003959541.1, H2B1A6, KAFR0K00510
NP_011541.1, Q3E792, RPS25A
NP_012673.3, P31116, HOM6
EGA83142.1, NA, NA
NP_009565.1, P00817, IPP1
CDO92450.1, A0A0A8L086, KLDO_g770
NP_013978.1, Q05827, HOR7
NP_010335.1, P00942, TPI1
NP_010790.3, P19358, SAM2
NP_012345.1, P0C0W1, RPS22A
NP_014514.1, P04456, RPL25
NP_009815.1, P38145, RIB5
NP_009876.1, P25583, KAR4
NP_009460.1, P38061, RPL32
AJV78268.1, NA, NA
